Attrition,Gender,MaritalStatus,OverTime,JobRole,BusinessTravel,Department_Research & Development,Department_Sales,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,16.0,3.0,1.0,4.0,1.0,2.0,2426.0,0.0,13.0,3.0,3.0,1.0,6.0,3.0,5.0,4.0,0.0,3.0
0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.0,15.0,2.0,4.0,2.0,2.0,3.0,4193.0,0.0,12.0,3.0,4.0,0.0,10.0,3.0,9.0,5.0,0.0,8.0
0,1.0,2.0,1.0,7.0,1.0,1.0,0.0,31.0,26.0,1.0,1.0,3.0,1.0,3.0,2911.0,1.0,17.0,3.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0
0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,34.0,19.0,2.0,2.0,3.0,1.0,4.0,2661.0,0.0,11.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0
1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,28.0,24.0,3.0,3.0,2.0,1.0,3.0,2028.0,5.0,14.0,3.0,2.0,0.0,6.0,3.0,4.0,2.0,0.0,3.0
0,0.0,2.0,1.0,6.0,1.0,1.0,0.0,29.0,21.0,4.0,2.0,4.0,3.0,1.0,9980.0,1.0,11.0,3.0,3.0,1.0,10.0,3.0,10.0,9.0,8.0,8.0
0,1.0,2.0,0.0,7.0,1.0,1.0,0.0,32.0,5.0,2.0,1.0,4.0,1.0,2.0,3298.0,0.0,12.0,3.0,4.0,2.0,7.0,2.0,6.0,2.0,0.0,5.0
0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,22.0,16.0,2.0,4.0,4.0,1.0,4.0,2935.0,1.0,13.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,53.0,2.0,4.0,1.0,2.0,4.0,4.0,15427.0,2.0,16.0,3.0,3.0,0.0,31.0,3.0,25.0,8.0,3.0,7.0
0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,38.0,2.0,3.0,4.0,3.0,1.0,4.0,3944.0,5.0,11.0,3.0,3.0,0.0,6.0,3.0,3.0,2.0,1.0,2.0
0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,24.0,11.0,2.0,1.0,4.0,2.0,3.0,4011.0,0.0,18.0,3.0,4.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0
1,1.0,0.0,1.0,3.0,1.0,0.0,1.0,36.0,9.0,4.0,3.0,2.0,1.0,1.0,3407.0,7.0,23.0,4.0,2.0,0.0,10.0,3.0,5.0,3.0,0.0,3.0
0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,34.0,7.0,4.0,1.0,3.0,3.0,2.0,11994.0,0.0,11.0,3.0,3.0,0.0,13.0,3.0,12.0,6.0,2.0,11.0
0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,21.0,15.0,2.0,3.0,3.0,1.0,4.0,1232.0,1.0,14.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,1.0,0.0,1.0,7.0,1.0,1.0,0.0,34.0,6.0,1.0,2.0,3.0,1.0,1.0,2960.0,2.0,11.0,3.0,3.0,0.0,8.0,3.0,4.0,2.0,1.0,3.0
0,0.0,2.0,1.0,5.0,1.0,1.0,0.0,53.0,5.0,3.0,3.0,3.0,5.0,3.0,19094.0,4.0,11.0,3.0,4.0,1.0,26.0,2.0,14.0,13.0,4.0,8.0
1,0.0,0.0,0.0,7.0,2.0,1.0,0.0,32.0,16.0,1.0,2.0,1.0,1.0,1.0,3919.0,1.0,22.0,4.0,2.0,0.0,10.0,3.0,10.0,2.0,6.0,7.0
0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,42.0,8.0,4.0,3.0,3.0,2.0,2.0,6825.0,0.0,11.0,3.0,4.0,1.0,10.0,3.0,9.0,7.0,4.0,2.0
0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,44.0,7.0,4.0,1.0,2.0,3.0,4.0,10248.0,3.0,14.0,3.0,4.0,1.0,24.0,3.0,22.0,6.0,5.0,17.0
0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,46.0,2.0,4.0,2.0,3.0,5.0,1.0,18947.0,3.0,12.0,3.0,4.0,0.0,22.0,2.0,2.0,2.0,2.0,1.0
0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,2.0,3.0,3.0,3.0,1.0,4.0,2496.0,4.0,11.0,3.0,4.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0
0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,44.0,10.0,4.0,4.0,3.0,2.0,4.0,6465.0,2.0,13.0,3.0,4.0,0.0,9.0,4.0,4.0,2.0,1.0,3.0
0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,30.0,9.0,2.0,4.0,2.0,1.0,3.0,2206.0,1.0,13.0,3.0,1.0,0.0,10.0,3.0,10.0,0.0,1.0,8.0
1,1.0,1.0,1.0,3.0,1.0,0.0,1.0,39.0,5.0,3.0,4.0,3.0,2.0,4.0,2086.0,3.0,14.0,3.0,3.0,1.0,19.0,4.0,1.0,0.0,0.0,0.0
1,1.0,1.0,0.0,7.0,1.0,1.0,0.0,24.0,1.0,3.0,2.0,3.0,1.0,4.0,2293.0,2.0,16.0,3.0,1.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0
0,0.0,2.0,1.0,7.0,1.0,1.0,0.0,43.0,2.0,2.0,4.0,4.0,1.0,3.0,2645.0,1.0,12.0,3.0,4.0,2.0,6.0,2.0,5.0,3.0,1.0,4.0
1,1.0,1.0,0.0,3.0,1.0,0.0,1.0,50.0,3.0,2.0,1.0,2.0,1.0,3.0,2683.0,1.0,14.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0
0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,35.0,2.0,3.0,4.0,3.0,1.0,4.0,2014.0,1.0,13.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0
0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,36.0,5.0,4.0,2.0,2.0,1.0,1.0,3419.0,9.0,14.0,3.0,4.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0
0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,33.0,1.0,3.0,3.0,4.0,2.0,1.0,5376.0,2.0,19.0,3.0,1.0,2.0,10.0,3.0,5.0,3.0,1.0,3.0
0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,35.0,4.0,2.0,3.0,3.0,1.0,4.0,1951.0,1.0,12.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,27.0,2.0,4.0,4.0,3.0,1.0,1.0,2341.0,1.0,13.0,3.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0
1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,26.0,25.0,3.0,1.0,1.0,1.0,3.0,2293.0,1.0,12.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0
0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,27.0,8.0,3.0,4.0,3.0,3.0,3.0,8726.0,1.0,15.0,3.0,4.0,0.0,9.0,3.0,9.0,8.0,1.0,7.0
0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,30.0,1.0,2.0,3.0,3.0,2.0,4.0,4011.0,1.0,23.0,4.0,4.0,0.0,12.0,3.0,12.0,8.0,3.0,7.0
1,0.0,1.0,1.0,8.0,1.0,1.0,0.0,41.0,12.0,3.0,2.0,3.0,5.0,3.0,19545.0,1.0,12.0,3.0,4.0,0.0,23.0,3.0,22.0,15.0,15.0,8.0
0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,34.0,23.0,4.0,2.0,3.0,2.0,3.0,4568.0,0.0,20.0,4.0,3.0,0.0,10.0,3.0,9.0,5.0,8.0,7.0
0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,37.0,19.0,2.0,2.0,3.0,1.0,2.0,3022.0,4.0,21.0,4.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0
0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,46.0,5.0,4.0,1.0,3.0,2.0,4.0,5772.0,4.0,21.0,4.0,3.0,0.0,14.0,3.0,9.0,6.0,0.0,8.0
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,8.0,1.0,4.0,4.0,1.0,4.0,2269.0,1.0,19.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0
1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,48.0,1.0,2.0,1.0,2.0,3.0,3.0,5381.0,9.0,13.0,3.0,4.0,0.0,23.0,3.0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,28.0,5.0,4.0,3.0,3.0,1.0,3.0,3441.0,1.0,13.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,44.0,1.0,5.0,2.0,3.0,2.0,1.0,5454.0,5.0,21.0,4.0,3.0,1.0,9.0,2.0,4.0,3.0,1.0,3.0
0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,35.0,11.0,2.0,3.0,2.0,3.0,1.0,9884.0,2.0,13.0,3.0,3.0,1.0,10.0,3.0,4.0,0.0,2.0,3.0
0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,26.0,23.0,3.0,3.0,2.0,2.0,4.0,4157.0,7.0,19.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,0.0,0.0
0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,33.0,1.0,2.0,1.0,3.0,3.0,4.0,13458.0,1.0,12.0,3.0,3.0,0.0,15.0,3.0,15.0,14.0,8.0,12.0
0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,35.0,18.0,5.0,2.0,3.0,3.0,1.0,9069.0,1.0,22.0,4.0,4.0,1.0,9.0,2.0,9.0,8.0,1.0,8.0
0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,35.0,23.0,4.0,3.0,3.0,1.0,1.0,4014.0,3.0,15.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0
0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,31.0,7.0,4.0,4.0,3.0,2.0,4.0,5915.0,3.0,22.0,4.0,4.0,1.0,10.0,2.0,7.0,7.0,1.0,7.0
0,1.0,2.0,1.0,6.0,1.0,1.0,0.0,37.0,1.0,4.0,1.0,2.0,2.0,3.0,5993.0,1.0,18.0,3.0,3.0,1.0,7.0,4.0,7.0,5.0,0.0,7.0
0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,32.0,1.0,3.0,1.0,3.0,2.0,4.0,6162.0,1.0,22.0,4.0,2.0,1.0,9.0,3.0,9.0,8.0,7.0,8.0
0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,38.0,29.0,5.0,4.0,3.0,2.0,4.0,2406.0,1.0,11.0,3.0,4.0,0.0,10.0,3.0,10.0,3.0,9.0,9.0
0,0.0,2.0,0.0,8.0,1.0,1.0,0.0,50.0,7.0,2.0,2.0,2.0,5.0,3.0,18740.0,5.0,12.0,3.0,4.0,1.0,29.0,2.0,27.0,3.0,13.0,8.0
0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,59.0,25.0,3.0,1.0,3.0,3.0,1.0,7637.0,7.0,11.0,3.0,4.0,0.0,28.0,2.0,21.0,16.0,7.0,9.0
0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,36.0,8.0,3.0,3.0,3.0,3.0,3.0,10096.0,1.0,13.0,3.0,2.0,3.0,17.0,3.0,17.0,14.0,12.0,8.0
0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,55.0,8.0,3.0,4.0,3.0,4.0,3.0,14756.0,2.0,14.0,3.0,3.0,3.0,21.0,3.0,5.0,0.0,0.0,2.0
0,1.0,0.0,1.0,6.0,2.0,1.0,0.0,36.0,11.0,3.0,2.0,2.0,2.0,2.0,6499.0,1.0,13.0,3.0,3.0,0.0,6.0,3.0,6.0,5.0,0.0,3.0
0,1.0,2.0,1.0,7.0,1.0,1.0,0.0,45.0,7.0,3.0,2.0,3.0,3.0,1.0,9724.0,2.0,17.0,3.0,3.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0
0,1.0,1.0,1.0,7.0,2.0,1.0,0.0,35.0,1.0,3.0,2.0,3.0,1.0,1.0,2194.0,4.0,13.0,3.0,4.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0
1,1.0,1.0,0.0,7.0,1.0,1.0,0.0,36.0,9.0,3.0,4.0,2.0,1.0,3.0,3388.0,0.0,17.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,59.0,1.0,1.0,1.0,2.0,2.0,3.0,5473.0,7.0,11.0,3.0,4.0,0.0,20.0,2.0,4.0,3.0,1.0,3.0
0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,29.0,2.0,3.0,3.0,3.0,1.0,2.0,2703.0,0.0,23.0,4.0,4.0,1.0,6.0,3.0,5.0,4.0,0.0,4.0
0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,31.0,1.0,4.0,3.0,3.0,1.0,2.0,2501.0,1.0,17.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0
0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,32.0,1.0,3.0,2.0,3.0,2.0,2.0,6220.0,1.0,17.0,3.0,2.0,2.0,10.0,3.0,10.0,4.0,0.0,9.0
0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,36.0,6.0,3.0,2.0,4.0,1.0,4.0,3038.0,3.0,12.0,3.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0
0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,31.0,8.0,4.0,3.0,3.0,2.0,4.0,4424.0,1.0,23.0,4.0,4.0,0.0,11.0,3.0,11.0,7.0,1.0,8.0
0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,35.0,1.0,4.0,3.0,2.0,2.0,1.0,4312.0,0.0,14.0,3.0,2.0,0.0,16.0,3.0,15.0,13.0,2.0,8.0
0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,45.0,6.0,4.0,4.0,3.0,3.0,1.0,13245.0,4.0,14.0,3.0,2.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0
0,1.0,0.0,1.0,8.0,1.0,1.0,0.0,37.0,7.0,4.0,1.0,3.0,3.0,3.0,13664.0,4.0,13.0,3.0,1.0,0.0,16.0,4.0,5.0,2.0,0.0,2.0
0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,46.0,5.0,2.0,2.0,3.0,2.0,2.0,5021.0,8.0,22.0,4.0,4.0,1.0,16.0,3.0,4.0,2.0,0.0,2.0
0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,1.0,1.0,4.0,2.0,2.0,4.0,5126.0,1.0,12.0,3.0,3.0,2.0,10.0,2.0,10.0,8.0,3.0,0.0
0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,35.0,1.0,3.0,2.0,2.0,1.0,3.0,2859.0,1.0,18.0,3.0,1.0,0.0,6.0,3.0,6.0,4.0,0.0,4.0
0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,55.0,1.0,2.0,1.0,3.0,3.0,4.0,10239.0,3.0,14.0,3.0,4.0,1.0,24.0,3.0,1.0,0.0,1.0,0.0
0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,38.0,6.0,3.0,2.0,1.0,2.0,4.0,5329.0,7.0,12.0,3.0,4.0,3.0,17.0,3.0,13.0,11.0,1.0,9.0
0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,34.0,1.0,2.0,1.0,3.0,2.0,2.0,4325.0,1.0,15.0,3.0,3.0,0.0,5.0,3.0,5.0,2.0,1.0,3.0
0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,56.0,7.0,3.0,4.0,1.0,3.0,4.0,7260.0,4.0,11.0,3.0,1.0,0.0,37.0,2.0,6.0,4.0,0.0,2.0
0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,23.0,2.0,1.0,3.0,3.0,1.0,1.0,2322.0,3.0,13.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,9.0,4.0,4.0,3.0,1.0,4.0,2075.0,3.0,23.0,4.0,2.0,2.0,10.0,3.0,4.0,2.0,0.0,3.0
0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,30.0,2.0,3.0,3.0,2.0,2.0,4.0,4152.0,1.0,19.0,3.0,1.0,3.0,11.0,3.0,11.0,10.0,10.0,8.0
1,1.0,0.0,1.0,4.0,1.0,0.0,1.0,46.0,9.0,2.0,3.0,2.0,3.0,4.0,9619.0,1.0,16.0,3.0,4.0,0.0,9.0,3.0,9.0,8.0,4.0,7.0
0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,40.0,1.0,4.0,3.0,2.0,4.0,2.0,13503.0,1.0,22.0,4.0,4.0,1.0,22.0,2.0,22.0,3.0,11.0,11.0
0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,51.0,21.0,4.0,3.0,3.0,2.0,4.0,5441.0,0.0,22.0,4.0,4.0,0.0,11.0,1.0,10.0,7.0,1.0,0.0
0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,30.0,4.0,2.0,3.0,2.0,2.0,2.0,5209.0,1.0,12.0,3.0,2.0,3.0,11.0,2.0,11.0,8.0,2.0,7.0
0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,46.0,1.0,3.0,3.0,2.0,3.0,1.0,10673.0,2.0,13.0,3.0,3.0,1.0,21.0,2.0,10.0,9.0,9.0,5.0
0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,32.0,6.0,4.0,2.0,3.0,2.0,3.0,5010.0,1.0,16.0,3.0,1.0,0.0,12.0,3.0,11.0,8.0,5.0,7.0
0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,54.0,2.0,4.0,1.0,3.0,3.0,3.0,13549.0,9.0,12.0,3.0,1.0,1.0,16.0,1.0,4.0,3.0,0.0,3.0
0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,24.0,3.0,2.0,1.0,3.0,2.0,3.0,4999.0,0.0,21.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,0.0,2.0
0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,28.0,4.0,3.0,2.0,3.0,2.0,3.0,4221.0,1.0,15.0,3.0,2.0,0.0,5.0,4.0,5.0,4.0,0.0,4.0
0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,58.0,10.0,4.0,4.0,3.0,4.0,3.0,13872.0,0.0,13.0,3.0,3.0,0.0,38.0,2.0,37.0,10.0,1.0,8.0
0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,44.0,23.0,3.0,2.0,3.0,2.0,2.0,2042.0,4.0,12.0,3.0,3.0,1.0,17.0,4.0,3.0,2.0,1.0,2.0
1,1.0,2.0,0.0,0.0,1.0,0.0,0.0,37.0,6.0,4.0,3.0,3.0,1.0,1.0,2073.0,4.0,22.0,4.0,4.0,0.0,7.0,3.0,3.0,2.0,0.0,2.0
0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,32.0,1.0,1.0,4.0,3.0,1.0,1.0,2956.0,1.0,13.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.0,2.0,1.0,0.0,20.0,6.0,3.0,4.0,2.0,1.0,4.0,2926.0,1.0,18.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0
0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,34.0,6.0,4.0,1.0,3.0,2.0,3.0,4809.0,1.0,14.0,3.0,3.0,0.0,16.0,3.0,16.0,13.0,2.0,10.0
0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,37.0,2.0,2.0,3.0,2.0,2.0,4.0,5163.0,5.0,14.0,3.0,4.0,1.0,17.0,4.0,1.0,0.0,0.0,0.0
0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,59.0,2.0,4.0,3.0,2.0,5.0,4.0,18844.0,9.0,21.0,4.0,4.0,1.0,30.0,3.0,3.0,2.0,2.0,2.0
0,0.0,1.0,0.0,8.0,2.0,1.0,0.0,50.0,1.0,3.0,1.0,3.0,5.0,2.0,18172.0,3.0,19.0,3.0,1.0,0.0,28.0,2.0,8.0,3.0,0.0,7.0
1,1.0,0.0,0.0,4.0,1.0,0.0,1.0,25.0,5.0,3.0,3.0,2.0,2.0,3.0,5744.0,1.0,11.0,3.0,4.0,0.0,6.0,3.0,6.0,4.0,0.0,3.0
0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,25.0,7.0,1.0,4.0,2.0,1.0,4.0,2889.0,1.0,11.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0
0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,22.0,15.0,3.0,2.0,3.0,1.0,4.0,2871.0,1.0,15.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,51.0,1.0,4.0,1.0,2.0,3.0,1.0,7484.0,3.0,20.0,4.0,3.0,0.0,23.0,2.0,13.0,12.0,12.0,8.0
1,1.0,0.0,0.0,1.0,2.0,1.0,0.0,34.0,7.0,3.0,1.0,1.0,2.0,3.0,6074.0,1.0,24.0,4.0,4.0,0.0,9.0,3.0,9.0,7.0,0.0,6.0
0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,26.0,3.0,4.0,4.0,4.0,4.0,17328.0,2.0,12.0,3.0,3.0,0.0,23.0,3.0,5.0,3.0,4.0,4.0
0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,24.0,18.0,1.0,2.0,3.0,1.0,3.0,2774.0,0.0,12.0,3.0,3.0,1.0,6.0,3.0,5.0,3.0,1.0,2.0
0,0.0,2.0,1.0,7.0,1.0,1.0,0.0,34.0,6.0,4.0,3.0,2.0,2.0,2.0,4505.0,6.0,15.0,3.0,3.0,1.0,12.0,3.0,1.0,0.0,0.0,0.0
0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,37.0,3.0,3.0,3.0,3.0,3.0,4.0,7428.0,2.0,12.0,3.0,1.0,0.0,12.0,3.0,5.0,3.0,1.0,3.0
0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,34.0,5.0,3.0,3.0,2.0,3.0,1.0,11631.0,2.0,12.0,3.0,4.0,0.0,14.0,3.0,11.0,10.0,5.0,8.0
0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,36.0,11.0,2.0,2.0,3.0,3.0,4.0,9738.0,0.0,14.0,3.0,3.0,1.0,10.0,3.0,9.0,7.0,2.0,8.0
0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,36.0,3.0,2.0,1.0,3.0,1.0,4.0,2835.0,5.0,22.0,4.0,1.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0
0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,43.0,26.0,2.0,3.0,3.0,4.0,4.0,16959.0,1.0,12.0,3.0,4.0,2.0,25.0,4.0,25.0,12.0,4.0,12.0
0,1.0,2.0,1.0,7.0,2.0,1.0,0.0,30.0,23.0,3.0,1.0,1.0,1.0,3.0,2613.0,1.0,25.0,4.0,3.0,3.0,10.0,2.0,10.0,7.0,0.0,9.0
0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,33.0,22.0,2.0,3.0,3.0,2.0,2.0,6146.0,0.0,13.0,3.0,1.0,1.0,8.0,4.0,7.0,7.0,0.0,7.0
1,0.0,1.0,0.0,7.0,1.0,1.0,0.0,56.0,14.0,4.0,2.0,3.0,1.0,2.0,4963.0,9.0,18.0,3.0,1.0,3.0,7.0,3.0,5.0,4.0,4.0,3.0
0,1.0,0.0,1.0,8.0,1.0,1.0,0.0,51.0,6.0,3.0,1.0,3.0,5.0,3.0,19537.0,7.0,13.0,3.0,3.0,0.0,23.0,3.0,20.0,18.0,15.0,15.0
1,1.0,1.0,0.0,4.0,1.0,0.0,1.0,31.0,6.0,4.0,2.0,1.0,2.0,3.0,6172.0,4.0,18.0,3.0,2.0,0.0,12.0,2.0,7.0,7.0,7.0,7.0
0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,26.0,6.0,3.0,3.0,2.0,1.0,2.0,2368.0,1.0,19.0,3.0,3.0,0.0,5.0,2.0,5.0,4.0,4.0,3.0
